MIN_VALUE	0.0
MAX_VALUE	3.467959
AVG_VALUE	0.22254551741862044
2.360237	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.880849, -117.237451, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.360237]
2.36092	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884160, -117.241318, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.360920]
2.38021	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.881373, -117.238617, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.380210]
2.382824	[DATA_LOCATION, 00EABED2-271D-49D8-B599-1D4A09240601, 32.882591, -117.234693, DATA_SENSORS, 00EABED2-271D-49D8-B599-1D4A09240601, 2.382824]
2.409278	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.881127, -117.237852, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.409278]
2.411022	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.880441, -117.237178, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.411022]
2.456913	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884798, -117.243554, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.456913]
2.5041	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884820, -117.243504, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.504100]
2.511466	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884776, -117.243476, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.511466]
2.542937	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884793, -117.243524, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.542937]
2.547586	[DATA_LOCATION, 00EABED2-271D-49D8-B599-1D4A09240601, 32.882422, -117.234651, DATA_SENSORS, 00EABED2-271D-49D8-B599-1D4A09240601, 2.547586]
2.575053	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.881049, -117.237824, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.575053]
2.61373	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884783, -117.243506, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.613730]
2.718203	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884646, -117.242512, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.718203]
2.760866	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.880010, -117.235893, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.760866]
2.777368	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.880049, -117.235895, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 2.777368]
3.015119	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884847, -117.243528, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 3.015119]
3.236268	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.880251, -117.238169, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 3.236268]
3.291168	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.883719, -117.241701, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 3.291168]
3.467959	[DATA_LOCATION, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 32.884801, -117.243485, DATA_SENSORS, 0A986513-7828-4D53-AA1F-E02D6DF9561B, 3.467959]
